Date,SP500,DAX,Nikkei
1988-07-06,272.0200,1194.9600,27766.5996
1988-07-07,271.7800,1186.4200,27728.1309
1988-07-08,270.0200,1199.9200,27917.0801
1988-07-11,270.5500,1191.5300,27985.9902
1988-07-12,267.8500,1182.4700,28099.8398
1988-07-13,269.3200,1167.7400,28020.0996
1988-07-14,270.2600,1185.1500,28084.0801
1988-07-15,272.0500,1189.5900,27913.7891
1988-07-18,270.5100,1188.4000,27662.1191
1988-07-19,268.4700,1168.5800,27149.0293
1988-07-20,270.0000,1169.7900,27553.9805
1988-07-21,266.6600,1181.0500,27676.1406
1988-07-22,263.5000,1156.2500,27285.0098
1988-07-25,264.6800,1149.7700,27183.5293
1988-07-26,265.1900,1167.6500,27303.7598
1988-07-27,262.5000,1176.5000,27738.5703
1988-07-28,266.0200,1163.2700,27796.0898
1988-07-29,272.0200,1178.5300,27911.6309
1988-08-01,272.2100,1190.6700,28326.3105
1988-08-02,272.0600,1187.1100,28366.3301
1988-08-03,272.9800,1192.4200,28348.4492
1988-08-04,271.9300,1182.9800,28292.6602
1988-08-05,271.1500,1193.8700,28423.3809
1988-08-08,269.9800,1202.2800,28253.1191
1988-08-09,266.4900,1193.4600,28170.3594
1988-08-10,261.9000,1174.9900,27554.8691
1988-08-11,262.7500,1162.7600,27784.9805
1988-08-12,262.5500,1172.6100,27833.5098
1988-08-15,258.6900,1170.4399,27901.2891
1988-08-16,260.5600,1158.6100,27896.5508
1988-08-17,260.7700,1175.0300,28178.8594
1988-08-18,261.0300,1180.3900,28129.3594
1988-08-19,260.2400,1164.4700,28209.4199
1988-08-22,256.9800,1165.9800,28079.1797
1988-08-23,257.0900,1151.4600,27919.9492
1988-08-24,261.1300,1161.6801,27799.6699
1988-08-25,259.1800,1164.6500,27870.4395
1988-08-26,259.6800,1156.5800,27565.4102
1988-08-29,262.3300,1150.9700,27379.0996
1988-08-30,262.5100,1164.3000,27511.6504
1988-08-31,261.5200,1169.4600,27365.9492
1988-09-01,258.3500,1154.3300,26934.2598
1988-09-02,264.4800,1152.9200,27116.5000
1988-09-06,265.5900,1176.7700,27320.5098
1988-09-07,265.8700,1182.5400,27504.0098
1988-09-08,265.8800,1186.8600,27740.1094
1988-09-09,266.8400,1186.5900,27647.0996
1988-09-12,266.4700,1199.8300,27756.7402
1988-09-13,267.4300,1211.2400,27794.1602
1988-09-14,269.3100,1224.0500,27805.6699
1988-09-16,270.6500,1229.2800,27866.3809
1988-09-19,268.8200,1248.4700,27901.0000
1988-09-20,269.7300,1243.0400,27548.5801
1988-09-21,270.1600,1257.8000,27712.6602
1988-09-22,269.1800,1250.0699,27428.3105
1988-09-26,268.8800,1254.9301,27333.7500
1988-09-27,268.2600,1252.5400,27499.5605
1988-09-28,269.0800,1239.9000,27752.0098
1988-09-29,272.5900,1248.0100,27700.1309
1988-09-30,271.9100,1253.6801,27923.6699
1988-10-03,271.3800,1243.2800,27545.5293
1988-10-04,270.6200,1245.2600,27501.0195
1988-10-05,271.8600,1252.2600,27405.4902
1988-10-06,272.3900,1257.5800,27172.3398
1988-10-07,278.0700,1265.0601,27258.2695
1988-10-11,277.9300,1275.5200,27469.5996
1988-10-12,273.9800,1263.0000,27409.3691
1988-10-13,275.2200,1269.2700,27273.3008
1988-10-14,275.5000,1284.5100,27306.5703
1988-10-17,276.4100,1282.7500,27268.7402
1988-10-18,279.3800,1299.5900,27141.9805
1988-10-19,276.9700,1309.2300,27293.6699
1988-10-20,282.8800,1288.4399,27390.5508
1988-10-21,283.6600,1297.6000,27401.4199
1988-10-24,282.2800,1288.1100,27281.5391
1988-10-25,282.3800,1290.0699,27421.4902
1988-10-26,281.3800,1308.0900,27620.5996
1988-10-27,277.2800,1319.2500,27722.9199
1988-10-28,278.5300,1314.7100,27741.3398
1988-10-31,278.9700,1308.2500,27982.5391
1988-11-01,279.0600,1304.9700,28013.6699
1988-11-02,279.0600,1299.7100,27985.2598
1988-11-04,276.3100,1289.3700,27953.2500
1988-11-07,273.9300,1271.0300,27866.3594
1988-11-08,275.1500,1284.6000,28007.2695
1988-11-09,273.3300,1283.4100,28212.7793
1988-11-10,273.6900,1266.9200,28166.4199
1988-11-11,267.9200,1252.1100,28489.5703
1988-11-14,267.7200,1252.8300,28520.9004
1988-11-15,268.3400,1265.4000,28829.4102
1988-11-17,264.6000,1261.2800,29076.8105
1988-11-18,266.4700,1278.2500,29180.1992
1988-11-21,266.2200,1286.9900,29284.2598
1988-11-22,267.2100,1275.0400,29430.1191
1988-11-25,267.2300,1275.6700,29406.6504
1988-11-28,268.6400,1261.5500,28983.3203
1988-11-29,270.9100,1259.1899,29318.3008
1988-11-30,273.7000,1273.7600,29578.9004
1988-12-01,272.4900,1281.6100,29541.4609
1988-12-02,271.8100,1272.0900,29532.2500
1988-12-05,274.9300,1281.3199,29614.6797
1988-12-06,277.5900,1292.7100,29669.3809
1988-12-07,278.1300,1300.6600,30050.8203
1988-12-08,276.5900,1298.0200,29758.9004
1988-12-09,277.0300,1300.7600,29793.4199
1988-12-12,276.5200,1293.2300,29672.2891
1988-12-13,276.3100,1288.0900,29597.8105
1988-12-14,275.3100,1294.5200,29754.7305
1988-12-15,274.2800,1282.2800,29705.7500
1988-12-16,276.2900,1298.3101,29536.7109
1988-12-19,278.9100,1310.3800,29470.0801
1988-12-20,277.4700,1331.5200,29567.9395
1988-12-21,277.3800,1321.6899,29698.1895
1988-12-22,276.8700,1324.7900,29774.6094
1988-12-23,277.8700,1326.2000,29686.2598
1988-12-27,276.8300,1342.4600,30050.9297
1988-12-28,277.0800,1332.3900,30159.0000
1989-01-04,279.4300,1369.7800,30243.6602
1989-01-05,280.0100,1372.4000,30183.7891
1989-01-06,280.6700,1356.4800,30209.5391
1989-01-09,280.9800,1367.0900,30678.3906
1989-01-10,280.3800,1349.9000,31006.5098
1989-01-11,282.0100,1352.4301,31143.4492
1989-01-12,283.1700,1360.6100,31143.4492
1989-01-13,283.8700,1356.7000,31298.3809
1989-01-17,283.5500,1328.2700,31227.5195
1989-01-18,286.5300,1316.9301,31354.5508
1989-01-19,286.9100,1339.9800,31311.4004
1989-01-20,286.6300,1329.8101,31170.3809
1989-01-23,284.5000,1313.2900,31332.8809
1989-01-24,288.4900,1326.6100,31557.6797
1989-01-25,289.1400,1345.6300,31567.7891
1989-01-26,291.6900,1330.8000,31511.8105
1989-01-27,293.8200,1341.8199,31646.1309
1989-01-30,294.9900,1335.9399,31567.5000
1989-01-31,297.4700,1324.3400,31581.3008
1989-02-01,297.0900,1305.9301,31360.6797
1989-02-02,296.8400,1313.6600,31498.3008
1989-02-03,296.9700,1328.9900,31685.7793
1989-02-06,296.0400,1332.6600,31828.7500
1989-02-07,299.6300,1344.8000,31880.6504
1989-02-08,298.6500,1356.5400,32065.1191
1989-02-09,296.0600,1349.7200,32078.4297
1989-02-10,292.0200,1347.1700,32131.9902
1989-02-13,292.5400,1335.5000,31985.3203
1989-02-14,291.8100,1333.9600,31982.8906
1989-02-15,294.2400,1321.2000,32149.4805
1989-02-16,294.8100,1322.5900,32083.5801
1989-02-17,296.7600,1319.9301,32173.3906
1989-02-21,295.9800,1310.5900,31980.0801
1989-02-22,290.9100,1296.1100,32311.9297
1989-02-23,292.0500,1273.0800,32452.4902
1989-02-27,287.8200,1269.6801,32285.7695
1989-02-28,288.8600,1289.7900,31985.5996
1989-03-01,287.1100,1305.7500,31964.3008
1989-03-02,289.9500,1303.2600,32073.7305
1989-03-03,291.1800,1324.8900,32000.0996
1989-03-06,294.8100,1332.6700,31876.8594
1989-03-07,293.8700,1331.0100,31937.9395
1989-03-08,294.0800,1314.6700,31837.6602
1989-03-09,293.9300,1315.8600,31656.4492
1989-03-10,292.8800,1320.3600,31701.7793
1989-03-13,295.3200,1310.3600,31552.9609
1989-03-14,295.1400,1329.0200,31724.3496
1989-03-15,296.6700,1332.6600,32100.4805
1989-03-16,299.4400,1323.6400,32098.2402
1989-03-17,292.6900,1325.5100,32021.0098
1989-03-20,289.9200,1299.1600,31654.8008
1989-03-22,290.4900,1308.7900,31443.2402
1989-03-23,288.9800,1303.7600,31588.6602
1989-03-28,291.5900,1308.2400,32306.3594
1989-03-29,292.3500,1310.6600,32737.2793
1989-03-30,292.5200,1316.0000,32826.1289
1989-03-31,294.8700,1319.8800,32838.6797
1989-04-03,296.3900,1339.4301,33042.0703
1989-04-04,295.3100,1341.9000,33312.2500
1989-04-05,296.2400,1346.5900,33360.7891
1989-04-06,295.2900,1351.4800,32995.7812
1989-04-07,297.1600,1346.0699,33185.0508
1989-04-10,297.1100,1362.5900,32999.0195
1989-04-11,298.4900,1371.6700,33249.5781
1989-04-12,298.9900,1379.3000,33256.4492
1989-04-13,296.4000,1396.3400,33063.9414
1989-04-14,301.3600,1378.3500,33150.4414
1989-04-17,301.7200,1395.6899,33308.3281
1989-04-18,306.0200,1390.6100,33321.6602
1989-04-19,307.1500,1391.0400,33363.8281
1989-04-20,306.1900,1387.2700,33185.1484
1989-04-21,309.6100,1375.9301,33029.8086
1989-04-24,308.6900,1373.4900,32805.9219
1989-04-25,306.7500,1368.6000,33244.7812
1989-04-26,306.9300,1374.1899,33434.9297
1989-04-27,309.5800,1374.7600,33500.8281
1989-04-28,309.6400,1374.0400,33713.3516
1989-05-02,308.1200,1359.0601,33954.9883
1989-05-08,306.0000,1379.3800,34135.2383
1989-05-09,305.1900,1369.4200,34031.8711
1989-05-10,305.8000,1368.1300,33992.3516
1989-05-11,306.9500,1367.3700,34081.4883
1989-05-12,313.8400,1348.2600,33866.3281
1989-05-16,315.2800,1338.9301,33926.4492
1989-05-17,317.4800,1338.3800,33992.4492
1989-05-18,317.9700,1348.6700,33856.3281
1989-05-19,321.2400,1354.0800,34001.9609
1989-05-22,321.9800,1351.5800,34067.8594
1989-05-23,318.3200,1348.5900,33816.6094
1989-05-24,319.1400,1369.5500,33851.8203
1989-05-26,321.5900,1373.5500,34191.6211
1989-05-30,319.0500,1402.5699,34076.8906
1989-05-31,320.5200,1407.0500,34266.7500
1989-06-01,321.9700,1406.9600,33981.3516
1989-06-02,325.5200,1417.8300,33667.4219
1989-06-05,322.0300,1421.7400,33457.0781
1989-06-06,324.2400,1408.9500,33452.0117
1989-06-07,326.9500,1429.9000,33626.8906
1989-06-08,326.7500,1440.0000,33718.2891
1989-06-09,326.6900,1436.9000,33639.9805
1989-06-12,326.2400,1433.8199,33398.0117
1989-06-13,323.9100,1425.7800,33213.5508
1989-06-14,323.8300,1433.2400,33402.9883
1989-06-15,320.0800,1426.1801,32913.0898
1989-06-16,321.3500,1430.2100,33055.1719
1989-06-19,321.8900,1453.5900,33013.1797
1989-06-20,321.2500,1477.1899,33233.4688
1989-06-21,320.4800,1470.3800,33345.2812
1989-06-22,322.3200,1485.3000,33324.9688
1989-06-23,328.0000,1485.3101,33530.7109
1989-06-26,326.6000,1486.7900,33625.8203
1989-06-27,328.4400,1475.0800,33469.2109
1989-06-28,325.8100,1492.0601,33245.6016
1989-06-29,319.6800,1488.1600,32956.3086
1989-06-30,317.9800,1477.2200,32948.6914
1989-07-03,319.2300,1485.4000,33236.4219
1989-07-05,320.6400,1496.8101,33309.7109
1989-07-06,321.5500,1486.7900,33423.4805
1989-07-07,324.9100,1507.8800,33703.9688
1989-07-10,327.0700,1520.6000,33676.0195
1989-07-11,328.7800,1503.3600,33746.7695
1989-07-12,329.8100,1511.3900,33701.5195
1989-07-13,329.9500,1513.5601,33631.1602
1989-07-14,331.8400,1527.6000,33574.7695
1989-07-17,332.4400,1530.2400,33456.2188
1989-07-18,331.3500,1515.6200,33343.7305
1989-07-19,335.7300,1535.1200,33557.1719
1989-07-20,333.5100,1546.4900,33664.8711
1989-07-21,335.9000,1556.3800,33899.4297
1989-07-24,333.6700,1554.5800,34093.3281
1989-07-25,333.8800,1550.0100,34538.8984
1989-07-26,338.0500,1570.5500,34515.8281
1989-07-27,341.9900,1564.8700,34785.2812
1989-07-28,342.1500,1554.5900,34705.6289
1989-07-31,346.0800,1548.6801,34953.8711
1989-08-01,343.7500,1576.3900,34898.4609
1989-08-02,344.3400,1590.1300,34899.3398
1989-08-03,344.7400,1574.7200,34779.8086
1989-08-04,343.9200,1585.3700,34741.9883
1989-08-07,349.4100,1584.2800,34630.3789
1989-08-08,349.3500,1604.6400,34759.4805
1989-08-09,346.9400,1602.8900,34859.2695
1989-08-10,348.2500,1615.5800,34719.8008
1989-08-11,344.7400,1610.4200,34712.9609
1989-08-14,343.0600,1586.7500,34671.6211
1989-08-15,344.7100,1567.9000,34810.6914
1989-08-16,345.6600,1591.1899,35084.1484
1989-08-17,344.4500,1574.4700,35090.1094
1989-08-18,346.0300,1572.9800,35063.1406
1989-08-21,340.6700,1594.4301,35140.8281
1989-08-22,341.1900,1600.7000,35114.3516
1989-08-23,344.7000,1594.7300,34893.2812
1989-08-24,351.5200,1592.8500,34786.5508
1989-08-25,350.5200,1604.4700,34739.9297
1989-08-28,352.0900,1600.9900,34607.4102
1989-08-29,349.8400,1594.5900,34687.6484
1989-08-30,350.6500,1589.0100,34471.6602
1989-08-31,351.4500,1594.7000,34431.1992
1989-09-01,353.7300,1608.0500,34348.2188
1989-09-05,352.5600,1636.8000,34441.9492
1989-09-06,349.2400,1639.3700,34271.3086
1989-09-07,348.3500,1638.5300,34152.5586
1989-09-08,348.7600,1654.4700,34115.8086
1989-09-11,347.6600,1641.0601,34113.6602
1989-09-12,348.7000,1630.4900,34332.8789
1989-09-13,345.4600,1609.6600,34286.9414
1989-09-14,343.1600,1609.8900,34401.8789
1989-09-18,346.7300,1597.0800,34472.5391
1989-09-19,346.5500,1613.1200,34471.0703
1989-09-20,346.4700,1617.9500,34470.5781
1989-09-21,345.7000,1615.2100,34745.0195
1989-09-22,347.0500,1626.0200,34771.7891
1989-09-25,344.2300,1635.0500,34960.7109
1989-09-26,344.3300,1617.9500,35444.8203
1989-09-27,345.1000,1585.0601,35370.5703
1989-09-28,348.6000,1586.2400,35689.9805
1989-09-29,349.1500,1570.6400,35636.7617
1989-10-02,350.8700,1578.4900,35622.9688
1989-10-03,354.7100,1596.7900,35366.3711
1989-10-04,356.9400,1616.8101,35382.8008
1989-10-05,356.9700,1615.7700,35522.9883
1989-10-06,358.7800,1629.6100,35209.3516
1989-10-09,359.8000,1636.1500,35376.3516
1989-10-11,356.9900,1610.4900,35240.0703
1989-10-12,355.3900,1608.0200,34795.0508
1989-10-13,333.6500,1595.6300,35116.0195
1989-10-16,342.8500,1385.9100,34468.6914
1989-10-17,341.1600,1477.1700,34996.0781
1989-10-18,341.7600,1501.4900,35107.5586
1989-10-19,347.1300,1522.2900,35374.2188
1989-10-20,347.1600,1520.0100,35486.3789
1989-10-23,344.8300,1518.2400,35585.5195
1989-10-24,343.7000,1508.2500,35526.5508
1989-10-25,342.5000,1479.2200,35442.3984
1989-10-26,337.9300,1492.9200,35678.4883
